#ID	_X	_Y
3	4.78	6.36
4	6.15	10.4
5	8.86	8.89
6	10.45	7.28
7	14.4	4.93
8	16.5	6.91
9	19.3	5.21
10	22.3	6.18
11	24.2	3.1
12	27.3	5.53
13	25.1	9.45
14	20.4	8.78
15	14.5	8.71
16	8.61	13.3
17	6.19	15.3
18	8.29	16.9
22	11.96	15.3
23	13.7	13.1
24	16.7	11.4
25	21.3	12.9
26	26.9	13.2
27	24.2	15.6
29	17.9	15.5
30	10.39	19
31	5.69	22.5
32	8.93	21.3
33	15.9	21.7
34	23	19.3
35	25.8	19.8
36	22.3	22.9
37	20.1	21.7
38	17.2	23.1
39	15.3	25.1
40	12.18	24
41	8.79	24.4
#42	7.972925742	29.95400211
43	11.37	28.6
44	18.1	26.3
45	25.7	26.7
